Lost Art ID;Hersteller/Künstler/Autor:in;Titel;Datierung;Beschreibung;namen_neu;Q_Nummer;datum_neu;datum_alt;spalte
598821;Bosch, Hieronymus (nach) [Künstler:in];Der Garten der Lüste (Der Garten der irdischen Genüsse);;"Zeitgenössische Wiederholung des Mittelteils des Flügelaltars „Der Garten der Lüste"", auch bekannt als die ""Nürnberger Kopie"";Öl auf Holz, auf Leinwand transportiert";Hieronymus Bosch (?);Q130531;0;0;1
598824;Bellotto, Bernardo [Künstler:in];Canale Grande;;;Bernardo Bellotto;;0;0;1
598905;Rubens, Peter Paul (Kopie nach) [Künstler:in];Meisje met Faun / Mädchen mit Faun;;auf der Rückseite Aufkleber mit Inventarnummer und Siegel;Peter Paul Rubens (?);Q5599;0;0;1
598908;Poussin, Nicolas [Künstler:in];Bacchanten;;auf der Rückseite Aufkleber mit Inventarnummer und Siegel;Nicolas Poussin;Q41554;0;0;1
598909;Vigée-Lebrun, Elisabeth [Künstler:in];Stilleven en portret Mevr. Vigee-Lebrun / Stillleben und Porträt von Frau Vigee-Lebrun;;auf der Rückseite Aufkleber mit Inventarnummer und Siegel;Elisabeth Vigée-Lebrun;;0;0;1
598911;"Uden, Lucas van [Künstler:in]
Leyden, Lucas Hugensz. van [Künstler:in]";Boschgezicht / Wald mit Hirschjagd;;"Über einen Weg, der quer durch Laubwald führt, geht ein Hirsch mit zwei Hirschkühen in wilder Flucht nach rechts ab, dicht gefolgt von einem rotgekleideten Jäger mit seinen Hunden; auf der Rückseite Aufkleber mit Inventarnummer und Siegel";;;0;0;1
598912;Swan, John Macallan [Künstler:in];Liggende Leeuwin / Liegende Löwin;;auf der Rückseite Aufkleber mit Inventarnummer und Siegel;John Macallan Swan;;0;0;1
598991;"Lancret, Nicolas (?) [Künstler:in]
Watteau, Antoine (?) [Künstler:in]";Zwei junge Damen im Wald;;;;;0;0;1
598996;"Colson, Jean-François [Künstler:in]
Latour, Maurice Quentin de (frühere Zuschreibung) [Künstler:in]";Ein Herr im blauen Anzug;;Baron Malouet liest seine Memoiren;;;0;0;1
597857;"Adamo, Albert (?) [Künstler:in]
Adamo, Max (?) [Künstler:in]";Porträt des Malers Sicherer;;bezeichnet: Adamo;;;0;0;1
597858;Alt, Theodor Zacharias Friedrich [Künstler:in];Blumenstück;1878 [Datierung];"bezeichnet: Th. Alt 1878; Goldrahmen";Theodor Zacharias Friedrich Alt;;1878;0;1
597859;Brascassat, Jacques-Raymond [Künstler:in];Zwei kämpfende Stiere;;"bezeichnet: Brascassat; Goldrahmen";Jacques-Raymond Brascassat;;0;0;1
597860;Canon, Hans [Künstler:in];Mädchenkopf und Hände;;"Skizze; Goldrahmen";Hans Canon;Q673664;0;0;1
597862;Cicery, Eugene [Künstler:in];Wäscherinnen am Fluss;;"bezeichnet: Eug. Cicery; Goldrahmen";Eugene Cicery;;0;0;1
597863;Defregger, Franz von [Künstler:in];Scheune;;"Skizze; Holzrahmen";Franz von Defregger;;0;0;1
597864;Demachy, Pierre-Antoine [Künstler:in];Interieur mit Figuren;;"bezeichnet: Demachy; Goldrahmen";Pierre-Antoine Demachy;Q3382841;0;0;1
597865;Evangelista di Pian di Meleto [Künstler:in];Maria mit dem Kind;1490 (ca.) [Datierung];derzeit keine weiteren Angaben verfügbar;Evangelista di Pian di Meleto;Q103911422;0;1490;1
597866;Dietrich, Christian Wilhelm Ernst [Künstler:in];Mythologische Szene;;"bezeichnet: D.; vergoldeter Rahmen";Christian Wilhelm Ernst Dietrich;Q536581;0;0;1
597867;Drouais, Francois Hubert [Künstler:in];Porträt einer Prinzessin;;mit holzgeschnitztem Louis XIV-Rahmen;Francois Hubert Drouais;;0;0;1
597868;Teniers, David (2) [Künstler:in];Kartenspieler;;"aus der berühmten Leuchtenbergsammlung stammend; Goldrahmen";David Teniers;Q405023;0;0;1
597870;Edlinger, Johann Georg [Künstler:in];Porträt Dr. v. Winter in blauer Uniform;1701/1800 [Datierung];Goldrahmen;Johann Georg Edlinger;Q874569;1701;0;1
597871;Erdelt, Alois [Künstler:in];Porträt seiner Frau;1871 [Datierung];"bezeichnet: A. Erdelt 1871; Renaissancerahmen";Alois Erdelt;Q96657519;1871;0;1
579049;Hohngelig, ? [Künstler:in];Portrait des Fürsten Johann Nepomuk II. zu Schwarzenberg;1910 [Datierung];Literatur: Hradní Muzeum Český Krumlov (ISBN 978-80-85033-29-8), mit Abb.;Hohngelig (?);;1910;0;1
586904;Pater, Jean-Bapt. Francois [Künstler:in];Rast, Militärszene / Une halte scène militaire;;Pendant;Jean-Bapt Francois Pater;;0;0;1
584746;Feuerbach, Anselm [Künstler:in];Romeinsch (Italiaans) meisje / Römisches (italienisches) Mädchen;1853 (um) [Datierung];"Studienkopf einer jungen Italienerin; Bildnis einer jungen Frau aus den Albaner Bergen";Anselm Feuerbach;Q250194;0;1853;1
581565;Blechen, Karl [Künstler:in];Der Golf von Spezia;;Der Golf von Spezia, von der Höhe gesehen. Ausgestellt in der Kunsthalle Bern Mai/Juni 1940;Karl Blechen;;0;0;1
617359;Buchholz, Karl [Künstler:in];Flussaue mit Wasserfall;;Rechts unten bezeichnet K.Buchholz;Karl Buchholz;Q1723420;0;0;1
617363;Diez, Wilhelm von [Künstler:in];Nach dem Raubüberfall;;Ein brennendes Schloss im Hintergrund mit Kämpfern, die abziehen. Mit Gutachten von Prof. Uhde-Bernays. Rechts unten bezeichnet Wilhelm von Diez;Wilhelm von Diez;Q788722;0;0;1
617365;Ebert, Carl [Künstler:in];Der Fang. Fischer ziehen ihre Netze in einer ruhigen, von Bäumen gesäumten Bucht;;Rechts unten bezeichnet C. Ebert;Carl Ebert;Q75179;0;0;1
617366;Erdtelt, Alois [Künstler:in];Porträt eines bärtigen Mannes;;derzeit keine weiteren Angaben verfügbar;Alois Erdtelt;Q30017593;0;0;1
617368;Geselschap, Eduard [Künstler:in];Strickende Großmutter mit Enkelkind und Hund;;Rechts unten bezeichnet E. Geselschap;Eduard Geselschap;Q18620678;0;0;1
617369;Geselschap, Eduard [Künstler:in];Gretchen trauert um die Leiche ihres Bruders Valentin;1844 [Datierung];Links unten bezeichnet E. Geselschap 1844;Eduard Geselschap;;1844;0;1
617373;Hagemeister, Karl [Künstler:in];Lichtung mit einem sonnenbeschienenen Weg zwischen Birken;;Rechts unten bezeichnet K. Hagemeister;Karl Hagemeister;Q1471196;0;0;1
617376;Herkomer, Hubert von [Künstler:in];Der Sieger - Edgar Ladenburg - in Aktion auf der Strecke während des Herkomer-Rennens;;Rechts unten bezeichnet H. Herkomer;Hubert von Herkomer;Q644595;0;0;1
617377;Herkomer, Hubert von [Künstler:in];Porträt einer Dame in Braun vor grünem Hintergrund;;Rechts unten bezeichnet H. Herkomer;Hubert von Herkomer;Q644595;0;0;1
617380;Igler, Gustav [Künstler:in];Kleiner Sünder. Eine Mutter tadelt einen Jungen, der seine Hose zerrissen hat;1800 (um) [Datierung];Links unten bezeichnet G. Igler;Gustav Igler;;0;1800;1
617383;Kaulbach, Friedrich August von [Künstler:in];Weiblicher Studienkopf;;Links oben bezeichnet F.A.Kaulbach;Friedrich August von Kaulbach;Q447963;0;0;1
617386;Keller, Albert von [Künstler:in];Porträt einer jungen Dame in einem roten Kleid;;Rechts unten bezeichnet Albert von Keller;Albert von Keller;Q567382;0;0;1
617387;Keller, Albert von [Künstler:in];Porträt der Baronin Wichmann. Ganzfigur in rosa Kleid in einem Sessel sitzend;;Rechts unten bezeichnet Albert von Keller;Albert von Keller;Q567382;0;0;1
617389;Knaus, Ludwig [Künstler:in];Zwei Bauernmädchen vor einer großen Tür, die ältere zieht an der Türklingel;;Rechts unten signiert L. Knaus. Gutachten von Prof. Uhde-Bernays;Ludwig Knaus;;0;0;1
617390;Kosit, C. F. [Künstler:in];Passkontrolle. Wachtmeister des Landes bei der Kontrolle von Reisenden;;Rechts unten bezeichnet C.F. Kosit;C F Kosit;;0;0;1
617391;Kosit, C. F. [Künstler:in];"Die Wahrsagerin. Eine ""Zigeunerin"", die zwei Bauernmädchen aus den Handflächen liest";;Rechts unten bezeichnet C.F. Kosit. Gegenstück;C F Kosit;;0;0;1
617393;Kreling, Wilhelm [Künstler:in];Tanzszene. Ein tanzendes Paar in einem Park, Musiker und Schaulustige;;Rechts unten bezeichnet W. Kreling;Wilhelm Kreling;Q26896951;0;0;1
617394;Kunz, Adam [Künstler:in];Liegende junge Frau mit goldblondem Haar;;Links unten bezeichnet L.Adam Kunz;Adam Kunz;Q110845410;0;0;1
617395;Leeke, Ferdinand [Künstler:in];Der Cherusker Arminius versammelt seine Anhänger vor der Schlacht im Teutoburger Wald;;Rechts unten bezeichnet F. Leeke;Ferdinand Leeke;Q5443870;0;0;1
617397;Lenbach, Franz von [Künstler:in];Kaiser Friedrich in der Uniform eines Kürassiers;;Rechts unten F. Lenbach;Franz von Lenbach;Q585323;0;0;1
617398;Lier, Adolf Heinrich [Künstler:in];Landschaft bei Brannenburg mit einer Burgruine, Bauern bei der Heuernte im Tal;;Mit Nachlassstempel;Adolf Heinrich Lier;Q362055;0;0;1
617399;Lindenschmit, Wilhelm (der Ältere) [Künstler:in];Ritter verneigt sich vor einer Rüstung;;Rechts unten bezeichnet W.L.;Wilhelm Lindenschmit the Elder;Q459105;0;0;1
617401;Linton, W. [Künstler:in];Landschaft mit einem Berggipfel mit Befestigungsanlagen, im Hintergrund eine alte Stadt;;derzeit keine weiteren Angaben verfügbar;W Linton;;0;0;1
617402;Makart, Hans [Künstler:in];Eine Edeldame mit einem Falken;;derzeit keine weiteren Angaben verfügbar;Hans Makart;Q511444;0;0;1
617403;Mali, Christian Friedrich [Künstler:in];Wiese mit spärlich belaubten Bäumen und grasenden Kühen;;Links unten bezeichnet C. Mali. Mit Gutachten von Prof. Uhde-Bernays;Christian Friedrich Mali;;0;0;1
617405;Max, Gabriel Cornelius von (Ritter) [Künstler:in];Mädchen am Fenster, links in einem Sessel sitzend;;Rechts unten bezeichnet G.Max;Gabriel Cornelius von Ritter Max;;0;0;1
617406;Max, Gabriel Cornelius von (Ritter) [Künstler:in];Kopf einer Frau, Profil nach links mit grünem Schal;;Links unten bezeichnet G.Max;Gabriel Cornelius von Ritter Max;;0;0;1
617408;Max, Gabriel Cornelius von (Ritter) [Künstler:in];Zwei Mädchen;;Rechts unten bezeichnet G.Max;Gabriel Cornelius von Ritter Max;;0;0;1
617410;Müller, Carl Friedrich Moritz [Künstler:in];Frau bei Kerzenschein lesend;;Rechts unten bezeichnet K.F.M. Müller;Carl Friedrich Moritz Müller;Q14531649;0;0;1
617412;Raupp, Karl [Künstler:in];Verzweifelte Mutter mit Kind am Ufer des Chiemsees während eines Sturms;;Rechts unten bezeichnet K.Raupp;Karl Raupp;;0;0;1
617415;Schleich, Eduard (der Ältere) [Künstler:in];Landschaft im Vorgebirge mit einem Planwagen vor einem Gewitter;;Mit Gutachten von Prof. Uhde-Bernays;Eduard Schleich the Elder;Q465361;0;0;1
617416;Schlesinger, Felix [Künstler:in];Eltern musizieren mit ihren Kindern zu Hause, singen und spielen Instrumente an einem Tisch;;Links oben bezeichnet F. Schlesinger;Felix Schlesinger;Q14912601;0;0;1
617417;Schmidt, Heinrich [Künstler:in];Dorfmusikanten. Kopie nach einem alten Meister;;Rechts unten bezeichnet H. Schmidt;Heinrich Schmidt;Q99870;0;0;1
617418;Schüz, Theodor Christoph [Künstler:in];Jäger und eine Frau beim Holzsammeln auf einer Waldlichtung;;Rechts unten bezeichnet T.Schüz;Theodor Christoph Schüz;Q101285;0;0;1
617423;Stuhlmüller, Karl [Künstler:in];Nach der Viehmesse, am Bahnhof einer oberbayerischen Kleinstadt;;Rechts unten bezeichnet K. Stuhlmüller;Karl Stuhlmüller;Q36618619;0;0;1
617426;Trübner, Wilhelm [Künstler:in];Kopf eines Jungen im Profil nach rechts, blondes Haar und weißer Kragen;;Rechts unten bezeichnet W. Trübner;Wilhelm Trübner;Q461271;0;0;1
617427;Velten, Wilhelm [Künstler:in];Der Ausritt. Dame und Herr im Kostüm des 18. Jahrhunderts in einer Parklandschaft;;Rechts unten bezeichnet W. Velten;Wilhelm Velten;Q20481348;0;0;1
617430;Weber, Paul [Künstler:in];Heuwagen zwischen Bäumen, bewölkter Himmel;;Links unten bezeichnet Paul Weber;Paul Weber;;0;0;1
617432;Wenk, Albert [Künstler:in];Südliche Küstenlandschaft;;Rechts unten bezeichnet Albert Wenk München;Albert Wenk;Q18507713;0;0;1
617433;Willroider, Ludwig [Künstler:in];Norditalienische Landschaft mit Bäumen und weitem Blick auf eine Hügellandschaft;;Rechts unten bezeichnet L. Willroider;Ludwig Willroider;Q89623;0;0;1
617434;Willroider, Ludwig [Künstler:in];Oberbayerische Moorlandschaft in stürmischer Atmosphäre;;Rechts unten bezeichnet L. Willroider;Ludwig Willroider;Q89623;0;0;1
617435;Wopfner, Joseph [Künstler:in];Fischerboot auf dem Chiemsee bei aufkommendem Sturm;;Mit Gutachten von Prof. Uhde-Bernays;Joseph Wopfner;Q16319565;0;0;1
617436;Zimmermann, Richard (1820) [Künstler:in];Bauernhaus an einem Gebirgsbach im Vorgebirge;;Rechts unten bezeichnet A.R. Zimmermann;Richard Zimmermann;;0;0;1
617439;Zorn, Anders Leonard (zugeschrieben) [Künstler:in];Porträt einer jungen Frau mit weißem Kragen und grauem Hut vor einem rotbraunen Hintergrund;;derzeit keine weiteren Angaben verfügbar;Anders Leonard Zorn (?);;0;0;1
617440;Zumbusch, Ludwig von [Künstler:in];Dame in Schwarz;;Rechts unten bezeichnet L.v.Zumbusch;Ludwig von Zumbusch;Q1119459;0;0;1
617448;Fr. Fleischlein [Künstler:in];Landschaft mit einem Reiter;;Rechts unten bezeichnet Fr. Fleischlein;Fr Fleischlein;;0;0;1
617454;Kauffmann, Angelica [Künstler:in];Antike Szene. Venus zwischen einem jungen Mann und einem Mädchen;;derzeit keine weiteren Angaben verfügbar;Angelica Kauffmann;;0;0;1
617458;Teniers, David (Imitator) [Künstler:in];Landwirt mit Weinkrug;;Links bezeichnet D.T.;David Imitator Teniers;;0;0;1
614072;Courbet, Gustave (Kopie nach) [Künstler:in];Vue d'Ornans / Ansicht von Ornans;;;Gustave Courbet (?);Q34618;0;0;1
614074;Trübner, Wilhelm [Künstler:in];Blick über den Park auf Stift Neuburg;;Signiert unten links: W. Trübner;Wilhelm Trübner;Q461271;0;0;1
614075;Spitzweg, Carl [Künstler:in];Der Rohrflötenspieler;;Auf der Rückseite: Gal. E. Arnold, Inh. Gutbier;Carl Spitzweg;Q164979;0;0;1
614082;Pissarro, Camille Jacob [Künstler:in];Heuhaufen, Morgen, Eragny;;"Signiert und datiert (unten links): C. Pissarro 99;Farbbildung siehe: http://www.metmuseum.org/art/collection/search/438738";Camille Jacob Pissarro;;0;0;1
614085;Fantin-Latour, Henri [Künstler:in];Roses (petit bouquet de roses forme boule) / Rosen (kleiner Strauß Rosen in Kugelform);1890 [Datierung];Signiert und datiert oben links: Fantin, 90;Henri Fantin-Latour;Q310715;1890;0;1
614086;Liebermann, Max [Künstler:in];Der Künstler skizzierend im Kreise seiner Familie;;"unten links: M. Liebermann;Farbabbildung siehe: AKG-IMAGES";Max Liebermann;Q158062;0;0;1
614087;Renoir, Auguste [Künstler:in];Femme rouge accoudée / Sich aufstützende Frau in rot;;Oben rechts signiert Renoir;Auguste Renoir;Q12142552;0;0;1
614088;Renoir, Auguste [Künstler:in];Roses et petit paysage / Rosen und kleine Landschaft;;;Auguste Renoir;Q12142552;0;0;1
614091;Sisley, Alfred [Künstler:in];Le port des péniches, à Saint-Mammès / Der Hafen der Kähne, in Saint-Mammès;;"Signiert unten links und datiert 84;Farbabbildung siehe: http://high.org/collection/barges-at-saint-mammes-barges-a-saint-mammes/";Alfred Sisley;Q175130;0;0;1
614092;Sisley, Alfred [Künstler:in];Le pont de Moret / Die Brücke von Moret;1888 [Datierung];Signiert unten rechts und datiert: 88;Alfred Sisley;Q175130;1888;0;1
614135;Mali, Christian Friedrich [Künstler:in];Landschaft mit Vieh;1890 [Datierung];"Links unten: ""Christian Mali München 1890""";Christian Friedrich Mali;;1890;0;1
614150;Uhde, Fritz von [Künstler:in];Studie zur „Atelierpause“ (Sitzender Engel);;;Fritz von Uhde;Q210201;0;0;1
616156;Barabás, Miklós [Künstler:in];Ein Paar in Bauernkleidung;;derzeit keine weiteren Angaben verfügbar;Miklós Barabás;Q790141;0;0;1
617098;Dijsselhof, Gerrit Willem [Künstler:in];Goudsvisschen / Goldfisch;;Signiert mit Monogramm;Gerrit Willem Dijsselhof;;0;0;1
617104;Metzinger, Jean [Künstler:in];"Vrouwenkop [“in verschillende aanzichten”] / Kopf einer Frau [""aus verschiedenen Perspektiven""]";;"Signiert; Kopf einer Frau [""aus verschiedenen Perspektiven"", laut der Zeitung De Telegraaf, 4. Oktober 1940]";Jean Metzinger;Q313096;0;0;1
617105;Meyer, H. [Künstler:in];Boerderij in de schemering / Bauernhaus in der Abenddämmerung;;derzeit keine weiteren Angaben verfügbar;H Meyer;;0;0;1
617106;Monnickendam, Martin [Künstler:in];Het Duo / Das Duo;1908 [Datierung];Unterschrieben und datiert. Inschrift 1908. Musizierende Damen in einem kunstvoll eingerichteten Interieur, ein Mädchen in weißem Kleid steht und singt von einem Notenblatt, während ein anderes Mädchen auf einem Kanapee sitzend, sie mit einer Gitarre begleitet.;Martin Monnickendam;Q1853039;1908;0;1
617107;Nanninga, Dirk Berend [Künstler:in];Avondvrede. De Kerk te Hollum, Ameland / Abendliche Ruhe. Die Kirche in Hollum, Ameland;1918 [Datierung];Unterschrieben und datiert. Inschrift 1918.;Dirk Berend Nanninga;;1918;0;1
617108;Nanninga, Dirk Berend [Künstler:in];Boerderij in het Gooi / Bauernhaus in Het Gooi;1916 [Datierung];Unterschrieben und datiert. Inschrift 1916.;Dirk Berend Nanninga;;1916;0;1
617109;Nanninga, Dirk Berend [Künstler:in];De Toiletkamer / Das Badezimmer;;signiert;Dirk Berend Nanninga;Q22668478;0;0;1
617115;Nanninga, Dirk Berend [Künstler:in];Veldbloemen in de keuken / Feldblumen in der Küche;1924 [Datierung];Unterschrieben und datiert. Inschrift 1924.;Dirk Berend Nanninga;Q22668478;1924;0;1
617121;Velde, Adriaen van de [Künstler:in];Landschap met vee / Landschaft mit Rindern;;signiert;Adriaen van de Velde;Q367741;0;0;1
617122;Vreedenburgh, Cornelis [Künstler:in];Prinsengracht te Amsterdam / Prinsengracht in Amsterdam;;signiert;Cornelis Vreedenburgh;Q2546798;0;0;1
617123;Wouwerman, Philips [Künstler:in];Legerplaats / Heerlager;;Signiert mit Initialen;Philips Wouwerman;Q454671;0;0;1
617124;Ansingh, Maria Elisabeth Georgina [Künstler:in];Poppencompositie / Komposition mit Puppen;1918 [Datierung];"Großes Stillleben mit Puppen, die vermenschlicht dargestellt sind. Eine große Wayang-Puppe steht in tanzender Pose vor einem grauen Hintergrund; zu ihren Füßen sitzt eine kleine, hockende Puppe mit dickem Kopf und großer Perücke. Zwei liegende Puppen auf dem Boden [Auc FM 1920-11-16 no. 169]. Signiert und datiert. Inschrift 1918.";Maria Elisabeth Georgina Ansingh;;1918;0;1
617242;Thoma, Hans [Künstler:in];Gefilde der Seligen;1879 [Datierung];Arkadische Wiesenlandschaft mit Flußlauf, in der sich junge, antikisch gewandte Menschen musizierend unter hohen Pinienbäumen ergehen. Tiefblauer Wolkenhimmel. signiert l. u.: H. Th. 1879;Hans Thoma;Q678094;1879;0;1
617243;Achenbach, Oswald [Künstler:in];Auf dem Monte Pincio zu Rom;1892 [Datierung];Herbstlich verfärbte hohe Bäume vor einem abendlich beleuchteten blauen Himmel, im Vordergrund Marmorfigur über einer Scheinbalustrade. Links im Hintergrund elegante Equipage. signiert: Osw. Achenbach 1892;Oswald Achenbach;Q76415;1892;0;1
617279;"Correggio, Antonio (Nachfolger) [Künstler:in]
Motta, Raffaello (womöglich) [Künstler:in]";Heilige Familie mit Johanneskind;;Maria in rotem Gewand und blauem Mantel unter Gebüsch sitzend, hält den am Boden stehenden Jesusknaben. Links Johannes und Franziskus, rechts hinten vor einer Ruine Joseph.;;;0;0;1
617280;Agricola, Eduard [Künstler:in];Blick auf den Comer See;;Rechts unten bezeichnet E.Agricola. Landstrasse mit Figuren.;Eduard Agricola;Q30131570;0;0;1
617281;Boller, Louis [Künstler:in];Moorlandschaft am Abend;;mit äsenden Rehen. Rechts unten bezeichnet L.Boller, München;Louis Boller;;0;0;1
617282;Calegari, Vittorio [Künstler:in];Italienerin;;Rechts bezeichnet V.Calegari;Vittorio Calegari;;0;0;1
617284;Decker, Georg [Künstler:in];Liegendes Mädchen mit Zicklein;;Links unten bezeichnet G. Decker;Georg Decker;Q876420;0;0;1
617290;Dillis, Cantius [Künstler:in];Ponte Salaro bei Rom;;Rechts unten bezeichnet C. Dillis;Cantius Dillis;Q32824146;0;0;1
617292;Exter, Julius [Künstler:in];Mutter und Kind;;Links unten bezeichnet J.Exter;Julius Exter;;0;0;1
617293;Fedder, Otto [Künstler:in];Winterlandschaft mit Vollmond und Holzsammlern;;Rechts unten bezeichnet Otto Fedder M.;Otto Fedder;Q19959413;0;0;1
617294;Feldhütter, Ferdinand [Künstler:in];Steinkirchen bei Samerberg;;Rechts unten bezeichnet Ferd. Feldhütter;Ferdinand Feldhütter;Q42303390;0;0;1
617295;Firle, Walter [Künstler:in];Dame in einer Landschaft;;Kniestück. Links unten bezeichnet W. Firle;Walter Firle;Q2547164;0;0;1
617296;Foltz, Philipp von [Künstler:in];Straßenansicht beim Goldenen Dachl in Innsbruck;;Links unten bezeichnet Ph. Foltz;Philipp von Foltz;;0;0;1
617302;Gaisser, Max [Künstler:in];Alte Frau;;Studie. Rechts oben bezeichnet Max Gaisser;Max Gaisser;Q18600494;0;0;1
617304;Geiger, Caspar Augustin [Künstler:in];Steinbruch in der Pfalz;;Rechts unten bezeichnet C. Augustin Geiger;Caspar Augustin Geiger;;0;0;1
617305;Geselschap, Eduard [Künstler:in];Bäuerin mit Kind in einem Innenraum;;Rechts unten bezeichnet E. Geselschap;Eduard Geselschap;Q18620678;0;0;1
617308;Hartwich, Hermann [Künstler:in];Ein alter Bergfried;;Rechts unten bezeichnet H. Hartwich;Hermann Hartwich;Q47035300;0;0;1
617309;Heilmayer, Karl [Künstler:in];Der Kleinhesseloher See am Morgen mit dem alten Gasthaus;1891 [Datierung];Rechts unten bezeichnet K. Heilmayer 1891;Karl Heilmayer;;1891;0;1
617311;Helmer, Philipp [Künstler:in];Mutter und Kind;;Rechts unten bezeichnet Ph. Helmer;Philipp Helmer;Q2086808;0;0;1
617317;Keller, Albert von [Künstler:in];Das Urteil des Paris;;Unten bezeichnet A.v.Keller;Albert von Keller;Q567382;0;0;1
Lost Art ID;Hersteller/Künstler/Autor:in;Titel;Datierung;Beschreibung;HerstellerKünstlerAutor:in;;Datierung;0;1
617318;Keller, Paul Wilhelm [Künstler:in];Hütende Jungen und Mädchen am Feuer auf einer Bergwiese;;Rechts unten bezeichnet: P.W.Keller-Reutlingen;Paul Wilhelm Keller;;0;0;1
617324;F. Mische [Künstler:in];Alter Bauer, Büste nach rechts;;Rechts unten bezeichnet F.Mische;F Mische;;0;0;1
617325;Müller, Carl [Künstler:in];Aus dem Dachauer Moor;;Links unten bezeichnet C.Müller München;Carl Müller;;0;0;1
617326;Müller, Peter Paul [Künstler:in];Herbstwald mit Jäger;;Rechts unten bezeichnet P.P.Müller;Peter Paul Müller;Q26720844;0;0;1
617327;Oldach, Julius [Künstler:in];Im heiligen Hain. Junges Mädchen und verhüllte Gestalt;;Links unten bezeichnet J.Oldach;Julius Oldach;Q1712865;0;0;1
617329;Piloty, Karl Theodor von [Künstler:in];Akt eines jungen Manns;;Rechts unten bezeichnet C. Piloty;Karl Theodor von Piloty;;0;0;1
617331;Santhó, Miklós [Künstler:in];Waldszene mit einem Kranich;;Rechts unten bezeichnet N.v.Santho;Miklós Santhó;;0;0;1
617334;Schlesinger, Felix [Künstler:in];Rast. Eine Bäuerin mit Kind an einem Holzschuppen;;Rechts unten bezeichnet F. Schlesinger;Felix Schlesinger;Q14912601;0;0;1
617337;Schulz-Stradtmann, Otto [Künstler:in];Sommerlandschaft mit blühender Wiese;;Links unten bezeichnet O.Schulz-Stradtmann;Otto Schulz-Stradtmann;;0;0;1
617338;Schuster-Waldau, Georg [Künstler:in];Porträt Marie von Ebner-Eschenbach;;Rechts bezeichnet G.Sch.-W.M.;Georg Schuster-Waldau;;0;0;1
617339;Seyler, Julius [Künstler:in];Der Stier;1904 [Datierung];Rechts unten bezeichnet J.Seyler 1904;Julius Seyler;Q896631;1904;0;1
617341;Skell, Ludwig [Künstler:in];Tiroler Bauernhäuser an einem Bach;;Links unten bezeichnet S.L.;Ludwig Skell;;0;0;1
617343;Sochaczewski, Aleksander [Künstler:in];Porträt einer Dame;;Links unten bezeichnet A. Sochaczewski 18.-27.XII.87;Aleksander Sochaczewski;Q628864;0;0;1
617348;Stieler, Maximilian [Künstler:in];Der verwundete Mann;1855 [Datierung];Rechts unten bezeichnet Max Stieler 1855;Maximilian Stieler;;1855;0;1
617351;Thiersch, Ludwig [Künstler:in];Isa. Büste einer venezianischen Dame;;Links unten bezeichnet L. Thiersch;Ludwig Thiersch;Q876701;0;0;1
617352;Thomassin, Désiré [Künstler:in];Auf der Wiese;1890 [Datierung];Links unten bezeichnet Desiré Thomassin 1890;Désiré Thomassin;;1890;0;1
617355;Zimmermann, Richard (1820) [Künstler:in];Winterlandschaft mit Schlitten;;Links unten undeutlich bezeichnet;Richard Zimmermann;Q1402996;0;0;1
617357;Amerling, Friedrich von [Künstler:in];Porträt eines Mädchens in einem weißen Spitzenkleid mit Rosen;;Rechts unten bezeichnet F.v. Amerling;Friedrich von Amerling;Q452397;0;0;1
618166;Boudin, Eugène [Künstler:in];Hafenstadt / Námořni pristav;1898 [1892] [Datierung];"MŠANO: signiert E. Boudin 98, vergoldeter, geprägter Rahmen, 1000 Kč Parke-Bernet: Ein bewölkter, blassblauer Himmel, der die Spieren von Rahseglern und anderen Schiffen im Hafen umreißt, das helle Licht spiegelt sich auf dem glatten Wasser des Flusses; links umgeben Figuren in zwei Beibooten einen Dampfer mit rot-schwarzem Rumpf, der den Kai verlässt. Signiert unten links E. BOUDIN und datiert '92, Fecamp. (Hanak) [Randnotiz:] 1000";Eugène Boudin;Q118105537;1898;0;1
618167;Courbet, Gustave [Künstler:in];Skály v krajině, na cestě myslivec / Felsen in der Landschaft, Jäger auf der Straße;1873 (um) [Datierung];"MŠANO: signiert Courbet, vergoldeter, geprägter Rahmen, 14.000 KčParke-Bernet: Eine Straße, die durch eine Schlucht führt, die links von steilen, senkrechten Wänden aus grauen Felsen begrenzt wird, rechts eine Böschung mit einem gewundenen Fußweg; ein Sportler mit einem Spürhund geht auf den Vordergrund zu. Den Hintergrund bildet ein hoher, mit Gras bewachsener Hang unter einem hellblauen, wolkenverhangenen Himmel. Signiert unten links G. COURBET. (Hanak) [Marginalie:] 500";Gustave Courbet;Q34618;0;1873;1
618198;Courbet, Gustave [Künstler:in];Wasserfall im Felsen / Vodopád ve skálach / Der Wasserfall;1864 (nach) [Datierung];"MŠANO: signiert Courbet, vergoldeter, geprägter Rahmen, 12000 KčParke-Bernet: Blick auf einen von steilen grünen Ufern umgebenen See unter blauem Himmel, vom Fuß eines Wasserfalls aus gesehen, wobei die Schlucht im Vordergrund von senkrechten Felsen umgeben ist, die von Bäumen überragt werden; in der Nähe des Betrachters in der Mitte erscheinen ein Hirsch und zwei Rehe, die am Ufer lauschen. Signiert unten links G. COURBET. (Hanak) [Marginalie:] 800";Gustave Courbet;Q34618;0;1864;1
